space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_7_13_1.8685_12.8711,17.198310462214703,-0.561,0.288,5434,9,0.0016
2022_7_13_1.8685_12.8711,14.424143444353014,-0.561,0.288,4558,7,0.0016
2022_7_13_1.8685_12.8711,13.70637032576752,-0.561,0.288,4331,7,0.0016
2022_7_13_1.8685_12.8711,13.437012164999407,-0.504,0.273,4246,7,0.0016
2022_7_13_1.8685_12.8711,17.24341188648771,-0.504,0.273,5448,9,0.0016
2022_7_13_1.8685_12.8711,18.64166381621625,-0.504,0.273,5890,9,0.0016
2022_7_13_1.8685_12.8711,18.534536566433403,-0.439,0.274,5856,9,0.0016
2022_7_13_1.8685_12.8711,18.572714984389368,-0.439,0.274,5868,9,0.0016
2022_7_13_1.8685_12.8711,18.77288457160825,-0.493,0.273,5932,9,0.0016
2022_7_13_1.8685_12.8711,4.496039219479424,-0.493,0.273,1420,2,0.0016
2022_7_13_1.8685_12.8711,3.668528759079756,-0.796,0.272,770,1,0.0016
2022_7_13_1.8685_12.8711,22.990316775977877,-0.796,0.272,4827,8,0.0016
2022_7_13_1.8685_12.8711,23.650758731699025,-0.606,0.272,4966,8,0.0016
2022_7_13_1.8685_12.8711,23.66931769734204,-0.606,0.272,4970,8,0.0016
2022_7_13_1.8685_12.8711,23.76075861862231,-0.606,0.272,4989,8,0.0016
2022_7_13_1.8685_12.8711,18.60387190787304,-0.669,0.273,3906,6,0.0016
2022_7_13_1.8685_12.8711,18.228134104843527,-0.669,0.273,3827,6,0.0016
2022_7_13_1.8685_12.8711,18.036781924094257,-0.669,0.273,3787,6,0.0016
2022_7_13_1.8685_12.8711,18.077587736224352,-0.961,0.273,3796,6,0.0016
2022_7_13_1.8685_12.8711,18.13409819526318,-0.961,0.273,3808,6,0.0016
2022_7_13_1.8685_12.8711,18.33422887958638,-0.762,0.288,3850,6,0.0016
2022_7_13_1.8685_12.8711,18.14343914276633,-0.762,0.288,3810,6,0.0016
2022_7_13_1.8685_12.8711,18.075400267176963,-0.762,0.288,3795,6,0.0016
2022_7_13_1.8685_12.8711,17.705445196023142,-0.504,0.273,5594,9,0.0016
2022_7_13_1.8685_12.8711,17.626679470679253,-0.504,0.273,5570,9,0.0016
2022_7_13_1.8685_12.8711,18.729857663670533,-0.504,0.273,5918,9,0.0016
2022_7_13_1.8685_12.8711,18.56348540274336,-0.439,0.274,5866,9,0.0016
2022_7_13_1.8685_12.8711,18.507929751210213,-0.439,0.274,5848,9,0.0016
2022_7_13_1.8685_12.8711,18.5948946965631,-0.191,0.274,7716,12,0.0016
2022_7_13_1.8685_12.8711,15.502382219495871,-0.191,0.274,6433,10,0.0016
2022_7_13_1.8685_12.8711,0.347795944793197,-0.191,0.274,144,0,0.0016
2022_7_13_1.8685_12.8711,14.59246499838496,-0.538,0.272,4611,7,0.0016
2022_7_13_1.8685_12.8711,23.566524363324103,-0.538,0.272,7447,12,0.0016
2022_7_13_1.8685_12.8711,23.464090572484203,-0.606,0.272,4927,8,0.0016
2022_7_13_1.8685_12.8711,23.69413425856641,-0.606,0.272,4975,8,0.0016
2022_7_13_1.8685_12.8711,23.659782540970056,-0.606,0.272,4968,8,0.0016
2022_7_13_1.8685_12.8711,18.262782505381956,-0.669,0.273,3835,6,0.0016
2022_7_13_1.8685_12.8711,18.1285683240414,-0.669,0.273,3806,6,0.0016
2022_7_13_1.8685_12.8711,18.14286806844449,-0.669,0.273,3810,6,0.0016
2022_7_13_1.8685_12.8711,18.26915272830752,-0.961,0.273,3836,6,0.0016
2022_7_13_1.8685_12.8711,18.220063450297605,-0.961,0.273,3826,6,0.0016
2022_7_13_1.8685_12.8711,18.337450341738748,-0.762,0.288,3850,6,0.0016
2022_7_13_1.8685_12.8711,18.689947797610145,-0.762,0.288,3924,6,0.0016
2022_7_13_1.8685_12.8711,18.72810683057425,-0.762,0.288,3932,6,0.0016
2022_7_13_1.8685_12.8711,18.850009962534177,-0.504,0.273,5956,10,0.0016
2022_7_13_1.8685_12.8711,18.783088101714,-0.504,0.273,5935,9,0.0016
2022_7_13_1.8685_12.8711,18.60921789344152,-0.504,0.273,5880,9,0.0016
2022_7_13_1.8685_12.8711,18.3915509291393,-0.439,0.274,5811,9,0.0016
2022_7_13_1.8685_12.8711,18.629037487368866,-0.439,0.274,5886,9,0.0016
2022_7_13_1.8685_12.8711,18.70136132417197,-0.191,0.274,7761,12,0.0016
2022_7_13_1.8685_12.8711,18.9091892156338,-0.191,0.274,7847,13,0.0016
2022_7_13_1.8685_12.8711,6.701874825199705,-0.191,0.274,2781,4,0.0016
2022_7_13_1.8685_12.8711,0.541394495562229,-0.723,0.272,113,0,0.0016
2022_7_13_1.8685_12.8711,22.746320663626573,-0.538,0.272,7187,12,0.0016
2022_7_13_1.8685_12.8711,24.09026252681383,-0.538,0.272,7612,12,0.0016
2022_7_13_1.8685_12.8711,23.7863172035399,-0.598,0.272,7516,12,0.0016
2022_7_13_1.8685_12.8711,23.685430916664043,-0.598,0.272,7484,12,0.0016
2022_7_13_1.8685_12.8711,23.134511706342884,-0.598,0.272,7310,12,0.0016
2022_7_13_1.8685_12.8711,18.198194554917396,-0.669,0.273,3821,6,0.0016
2022_7_13_1.8685_12.8711,17.922261787447503,-0.669,0.273,3763,6,0.0016
2022_7_13_1.8685_12.8711,18.02177741909095,-0.669,0.273,3784,6,0.0016
2022_7_13_1.8685_12.8711,18.24712728343869,-0.961,0.273,3831,6,0.0016
2022_7_13_1.8685_12.8711,18.638040175970826,-0.961,0.273,3913,6,0.0016
2022_7_13_1.8685_12.8711,18.695835015647354,-0.762,0.288,3926,6,0.0016
2022_7_13_1.8685_12.8711,18.583384035742423,-0.762,0.288,3902,6,0.0016
2022_7_13_1.8685_12.8711,18.80151522812923,-0.762,0.288,3948,6,0.0016
2022_7_13_1.8685_12.8711,18.77653023756403,-0.504,0.273,5933,9,0.0016
2022_7_13_1.8685_12.8711,18.812120125727525,-0.504,0.273,5944,10,0.0016
2022_7_13_1.8685_12.8711,18.40376084640244,-0.504,0.273,5815,9,0.0016
2022_7_13_1.8685_12.8711,18.51332570460512,-0.439,0.274,5850,9,0.0016
2022_7_13_1.8685_12.8711,18.61490573835454,-0.439,0.274,5882,9,0.0016
2022_7_13_1.8685_12.8711,18.694919000358357,-0.349,0.274,5907,9,0.0016
2022_7_13_1.8685_12.8711,18.710769095800494,-0.349,0.274,5912,9,0.0016
2022_7_13_1.8685_12.8711,13.295842178538985,-0.349,0.274,4201,7,0.0016
2022_7_13_1.8685_12.8711,5.09396174684298,-0.723,0.272,1069,2,0.0016
2022_7_13_1.8685_12.8711,24.095697407818456,-0.538,0.272,7614,12,0.0016
2022_7_13_1.8685_12.8711,24.16787835693661,-0.538,0.272,7637,12,0.0016
2022_7_13_1.8685_12.8711,24.14542325902215,-0.598,0.272,7629,12,0.0016
2022_7_13_1.8685_12.8711,23.722733318255845,-0.598,0.272,7496,12,0.0016
2022_7_13_1.8685_12.8711,23.67570995896757,-0.598,0.272,7481,12,0.0016
2022_7_13_1.8685_12.8711,18.68001306055561,-0.598,0.272,5902,9,0.0016
2022_7_13_1.8685_12.8711,18.14137695584026,-0.669,0.273,3809,6,0.0016
2022_7_13_1.8685_12.8711,18.014103898992232,-0.669,0.273,3782,6,0.0016
2022_7_13_1.8685_12.8711,18.197379996981557,-0.961,0.273,3821,6,0.0016
2022_7_13_1.8685_12.8711,18.309192442771337,-0.961,0.273,3844,6,0.0016
2022_7_13_1.8685_12.8711,18.603301017519662,-0.762,0.288,3906,6,0.0016
2022_7_13_1.8685_12.8711,18.494873000855367,-0.762,0.288,3883,6,0.0016
2022_7_13_1.8685_12.8711,18.39273732828927,-0.762,0.288,3862,6,0.0016
2022_7_13_1.8685_12.8711,18.38068135190292,-0.504,0.273,5808,9,0.0016
2022_7_13_1.8685_12.8711,18.481259513553905,-0.504,0.273,5840,9,0.0016
2022_7_13_1.8685_12.8711,18.301281971115813,-0.504,0.273,5783,9,0.0016
2022_7_13_1.8685_12.8711,18.48568957973679,-0.439,0.274,5841,9,0.0016
2022_7_13_1.8685_12.8711,18.5105373511782,-0.349,0.274,5849,9,0.0016
