space_time_id,GID_0,NAME_0,GID_2,NAME_1,year,month,day,country,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,source,radio,mcc,net,ran_usd,tower_usd,power_usd,backhaul_usd,labor_usd,total_usd,pop,wealth_usd,wealth_cfa,usd_to_cfa
2023_3_3_-3.0788_14.3992,MLI,Mali,MLI.6.5_1,Mopti,2023,3,3,Mali,Mopti,Madougou,communications,antenna,Looting/property destruction,sabotage_removed,unknown,"Property destruction: On 3 March 2023, JNIM sabotaged and took away a Malitel communication antenna in Madougou (Koro, Mopti). They abandoned the equipment later after being allegedly asked by their commander to leave it.",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,15054.253452073268,5886625,9417,0.0016
2022_1_15_-4.466_13.0179,MLI,Mali,MLI.7.7_1,Ségou,2022,1,15,Mali,Segou,Mandiakuy,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 15 January 2022, presumed JNIM militants sabotaged a telecommunications antenna in the town of Mandiakuy (Tominian, Segou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,17187.372513258862,5677931,9086,0.0016
2017_8_22_-3.7478_16.1289,MLI,Mali,MLI.9.2_1,Timbuktu,2017,8,22,Mali,Tombouctou,Tonka,communications,installation,Armed clash,sabotage,unknown,"Gendarmerie post in Tonka (Goundam) attacked by gunmen on motorbike/s around 2h this morning, telecomms sabotaged, casualties unknown",0,Unidentified Armed Group (Mali),,Political Militias,Police Forces of Mali (2013-2020) Gendarmerie,,State Forces,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,34353.45674554268,17194577,27518,0.0016
2022_1_16_-3.6264_13.7407,MLI,Mali,MLI.6.2_1,Mopti,2022,1,16,Mali,Mopti,Diallassagou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 16 January 2022, presumed JNIM militants burned a telecommunications antenna in the commune of Diallassagou, location coded as Diallassagou (Bankass, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,26583.009225569014,8459935,13539,0.0016
2022_1_21_-3.0063_14.1333,MLI,Mali,MLI.6.5_1,Mopti,2022,1,21,Mali,Mopti,Bondo,communications,antenna,Remote explosive/landmine/IED,ied,destroyed,"On 21 January 2022, presumed JNIM militants detonated a telecommunications antenna in the village of Bondo (Koro, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,,,,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,18386.76199460932,7102140,11364,0.0016
2020_2_12_0.8908_15.5821,MLI,Mali,MLI.2.1_1,Gao,2020,2,12,Mali,Gao,Tin Hama,communications,radio station,Attack on civilians,arson,burned,"On 12 February 2020, presumed ISGS militants attacked Tin-Hamma (Ansongo, Gao). The militants burned administrative documents at a school and at the mayor's office. The local radio was also set ablaze.",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Mali),Government of Mali (2013-2020); Labour Group (Mali),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,5330.486128381884,1969287,3141,0.0016
2022_5_3_-5.6052_14.9822,MLI,Mali,MLI.7.4_1,Ségou,2022,5,3,Mali,Segou,Lougui,communications,other,Looting/property destruction,sabotage,disruption,"Looting: On 3 May 2022, Wagner forces raided the Tuareg village of Lougui (Niono, Segou). The force searched the village, pillaged the market and seized belongings including valuables and cash from residents. The mercenaries had cut the Nampala telecommu",0,Wagner Group,,External and Other Forces,Civilians (Mali),Tuareg Ethnic Group (Mali),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,2422.924377435945,878609,1414,0.0016
2022_4_25_-3.7893_14.0914,MLI,Mali,MLI.6.1_1,Mopti,2022,4,25,Mali,Mopti,Ouo-Sarre,communications,antenna,Looting/property destruction,sabotage_removed,unknown,"Property destruction: On 25 April 2022, presumed JNIM militants sabotaged a telecommunications antenna by destroying solar panels in the village of Ouo-Sarre (Bandiagara, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,610.0,1.0,40000,15000,5000,30000,1000,91000,11027.954769181906,4272352,6832,0.0016
2022_1_19_-2.9725_14.2333,MLI,Mali,MLI.6.5_1,Mopti,2022,1,19,Mali,Mopti,Dangatene,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 19 January 2022, presumed JNIM militants sabotaged a telecommunications antenna in the village of Dangatene (Koro, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,10395.477350513363,3719601,5954,0.0016
2022_1_19_-4.9589_12.1623,MLI,Mali,MLI.8.7_1,Sikasso,2022,1,19,Mali,Sikasso,Tandio,communications,antenna,Abduction/forced disappearance,sabotage,unknown,"On 19 January 2022, presumed JNIM militants abducted a civilian and sabotaged a telecommunications antenna in the village of Tandio (Yorosso, Sikasso).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,610.0,2.0,40000,15000,5000,30000,1000,91000,25313.40879565388,9714972,15541,0.0016
2021_9_28_-4.9118_15.7118,MLI,Mali,MLI.9.4_1,Timbuktu,2021,9,28,Mali,Tombouctou,Lere,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 28 September 2021, presumed Katiba Macina (JNIM) militants burned a telecommunication antenna in the town of Lere (Lere, Tombouctou).",0,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,12955.084852328157,7781432,12457,0.0016
2019_6_26_-2.1354_14.2793,MLI,Mali,MLI.6.5_1,Mopti,2019,6,26,Mali,Mopti,Yoro,communications,other,Attack on civilians,ransacking,unknown,"On 26 June 2019, suspected Katiba Macina (JNIM) militants attacked the Dogon village of Yoro, and killed one individual, wounded two others, pillaged shops, seized livestock, and ransacked the telecommunications network.",1,JNIM: Group for Support of Islam and Muslims,Katiba Macina,Rebel Groups,Civilians (Mali),Dogon Ethnic Group (Mali),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,15712.227071305286,6525709,10434,0.0016
2022_1_16_-3.8308_13.3821,MLI,Mali,MLI.6.2_1,Mopti,2022,1,16,Mali,Mopti,Ouenkoro,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 16 January 2022, presumed JNIM militants burned a telecommunications antenna in the commune of Ouonkoro, location coded as Ouenkoro (Bankass, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,8283.696096674767,3293157,5265,0.0016
