space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_1_19_-4.9589_12.1623,18.955664821134278,-0.764,0.386,5061,8,0.0016
2022_1_19_-4.9589_12.1623,1.178418082925295,-0.592,0.297,470,1,0.0016
2022_1_19_-4.9589_12.1623,53.599004141188765,-0.233,0.32,21386,34,0.0016
2022_1_19_-4.9589_12.1623,47.25105555441458,-0.233,0.32,18853,30,0.0016
2022_1_19_-4.9589_12.1623,125.08630915317389,-0.233,0.32,49909,80,0.0016
2022_1_19_-4.9589_12.1623,377.9303059820827,-0.128,0.328,205972,330,0.0016
2022_1_19_-4.9589_12.1623,396.98743637653865,-0.128,0.328,216358,346,0.0016
2022_1_19_-4.9589_12.1623,96.39440921608347,-0.128,0.328,52534,84,0.0016
2022_1_19_-4.9589_12.1623,51.22609073730664,-0.184,0.373,27918,45,0.0016
2022_1_19_-4.9589_12.1623,75.211122910691,-0.184,0.373,40990,66,0.0016
2022_1_19_-4.9589_12.1623,106.99455005992446,-0.214,0.298,42690,68,0.0016
2022_1_19_-4.9589_12.1623,93.03317267645062,-0.214,0.298,37120,59,0.0016
2022_1_19_-4.9589_12.1623,52.79747505011007,-0.214,0.298,21066,34,0.0016
2022_1_19_-4.9589_12.1623,57.07303964504981,-0.52,0.372,22772,36,0.0016
2022_1_19_-4.9589_12.1623,67.1726631219573,-0.52,0.372,26801,43,0.0016
2022_1_19_-4.9589_12.1623,60.77319635156739,-0.52,0.372,24248,39,0.0016
2022_1_19_-4.9589_12.1623,60.7336098741854,-0.575,0.325,24232,39,0.0016
2022_1_19_-4.9589_12.1623,61.91122864516874,-0.575,0.325,24702,40,0.0016
2022_1_19_-4.9589_12.1623,70.31912639591643,-0.764,0.386,18775,30,0.0016
2022_1_19_-4.9589_12.1623,87.6684401381508,-0.764,0.386,23407,37,0.0016
2022_1_19_-4.9589_12.1623,11.125627402295558,-0.764,0.386,2970,5,0.0016
2022_1_19_-4.9589_12.1623,45.76591101571969,-0.794,0.269,12219,20,0.0016
2022_1_19_-4.9589_12.1623,43.10819643915801,-0.567,0.261,17200,28,0.0016
2022_1_19_-4.9589_12.1623,52.76272747543808,-0.567,0.261,21052,34,0.0016
2022_1_19_-4.9589_12.1623,45.320260566843096,-0.567,0.261,18082,29,0.0016
2022_1_19_-4.9589_12.1623,64.53212957680975,-0.634,0.262,17230,28,0.0016
2022_1_19_-4.9589_12.1623,66.70922999651232,-0.634,0.262,17811,28,0.0016
2022_1_19_-4.9589_12.1623,40.19319720640905,-0.634,0.262,10731,17,0.0016
2022_1_19_-4.9589_12.1623,38.40769703344682,-0.781,0.263,10254,16,0.0016
2022_1_19_-4.9589_12.1623,36.35196535069493,-0.781,0.263,9705,16,0.0016
2022_1_19_-4.9589_12.1623,50.13272780472986,-0.73,0.262,13385,21,0.0016
