iso3,b_n_k_c,c_n_k_c,cbr_n_k_c
BFA,58657156.446575336,340000.0,172.5210483722804
MLI,9611043.66849315,380000.0,25.29222018024513
NER,1955138.475068493,360000.0000000001,5.43094020852359
