GID_0,NAME_0,GID_1,NAME_1,year,month,day,country,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,latitude,longitude,coordinate,source,radio,mcc,net,area,distance_to_event_m
BFA,Burkina Faso,GID_1,NAME_1,2022,7,4,Burkina Faso,Boucle du Mouhoun,Kiembara,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 4 July 2022, presumed JNIM militants burned a warehouse belonging to the mayor office, a bar, a police station, a gendarmerie, and a telecommunications installation, and seized a motorcycle in the town of Kiembara (Kiembara, Sour",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-); Labour Group (Burkina Faso); Police Forces of Burkina Faso (2022-); Police Forces of Burkina Faso (2022-) Gendarmerie,Civilians,13.2395,-2.7283,"13.2395,-2.7283",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,7,4,Burkina Faso,Boucle du Mouhoun,Kiembara,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 4 July 2022, presumed JNIM militants burned a warehouse belonging to the mayor office, a bar, a police station, a gendarmerie, and a telecommunications installation, and seized a motorcycle in the town of Kiembara (Kiembara, Sour",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-); Labour Group (Burkina Faso); Police Forces of Burkina Faso (2022-); Police Forces of Burkina Faso (2022-) Gendarmerie,Civilians,13.2395,-2.7283,"13.2395,-2.7283",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,7,4,Burkina Faso,Boucle du Mouhoun,Kiembara,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 4 July 2022, presumed JNIM militants burned a warehouse belonging to the mayor office, a bar, a police station, a gendarmerie, and a telecommunications installation, and seized a motorcycle in the town of Kiembara (Kiembara, Sour",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-); Labour Group (Burkina Faso); Police Forces of Burkina Faso (2022-); Police Forces of Burkina Faso (2022-) Gendarmerie,Civilians,13.2395,-2.7283,"13.2395,-2.7283",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,10,30,Burkina Faso,Centre-Nord,Sian,communications,antenna,Looting/property destruction,ransacking,unknown,"Property destruction: On 30 October 2022, presumed JNIM militants vandalized a bar and a telecommunication antenna in the village of Sian (Kaya, Sanmatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,13.1021,-1.2239,"13.1021,-1.2239",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,2.0,301.0,7565.087383632851
BFA,Burkina Faso,GID_1,NAME_1,2022,10,25,Burkina Faso,Sud-Ouest,Diassara,communications,installation,Abduction/forced disappearance,destruction,destroyed,"On 25 October 2022, presumed JNIM militants abducted a fuel vendor and destroyed a telecommunications installation in the village of Diassara (Iolonioro, Bougouriba)",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,10.6833,-3.5667,"10.6833,-3.5667",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,10,25,Burkina Faso,Sud-Ouest,Diassara,communications,installation,Abduction/forced disappearance,destruction,destroyed,"On 25 October 2022, presumed JNIM militants abducted a fuel vendor and destroyed a telecommunications installation in the village of Diassara (Iolonioro, Bougouriba)",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,10.6833,-3.5667,"10.6833,-3.5667",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,10,25,Burkina Faso,Sud-Ouest,Diassara,communications,installation,Abduction/forced disappearance,destruction,destroyed,"On 25 October 2022, presumed JNIM militants abducted a fuel vendor and destroyed a telecommunications installation in the village of Diassara (Iolonioro, Bougouriba)",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,10.6833,-3.5667,"10.6833,-3.5667",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2023,3,15,Burkina Faso,Centre-Nord,Tougouri,communications,radio station,Looting/property destruction,arson,burned,"Property destruction: On 15 March 2023, presumed JNIM militants set fire to the local radio station in the town of Tougouri (Namentenga, Centre-Nord).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3164,-0.5225,"13.3164,-0.5225",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2023,3,15,Burkina Faso,Centre-Nord,Tougouri,communications,radio station,Looting/property destruction,arson,burned,"Property destruction: On 15 March 2023, presumed JNIM militants set fire to the local radio station in the town of Tougouri (Namentenga, Centre-Nord).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3164,-0.5225,"13.3164,-0.5225",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2023,3,15,Burkina Faso,Centre-Nord,Tougouri,communications,radio station,Looting/property destruction,arson,burned,"Property destruction: On 15 March 2023, presumed JNIM militants set fire to the local radio station in the town of Tougouri (Namentenga, Centre-Nord).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3164,-0.5225,"13.3164,-0.5225",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2023,3,10,Burkina Faso,Centre-Nord,Tougouri,communications,radio station,Attack on civilians,ransacking,unknown,"On 10 March 2023, presumed JNIM militants attacked the town of Tougouri (Tougouri, Namentenga). The militants vandalized the local radio station, set fire to shops and took away a car. A pregnant woman was fatally shot. A child was also injured.",1,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Women (Burkina Faso),Civilians,13.3164,-0.5225,"13.3164,-0.5225",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2023,3,10,Burkina Faso,Centre-Nord,Tougouri,communications,radio station,Attack on civilians,ransacking,unknown,"On 10 March 2023, presumed JNIM militants attacked the town of Tougouri (Tougouri, Namentenga). The militants vandalized the local radio station, set fire to shops and took away a car. A pregnant woman was fatally shot. A child was also injured.",1,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Women (Burkina Faso),Civilians,13.3164,-0.5225,"13.3164,-0.5225",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2023,3,10,Burkina Faso,Centre-Nord,Tougouri,communications,radio station,Attack on civilians,ransacking,unknown,"On 10 March 2023, presumed JNIM militants attacked the town of Tougouri (Tougouri, Namentenga). The militants vandalized the local radio station, set fire to shops and took away a car. A pregnant woman was fatally shot. A child was also injured.",1,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Women (Burkina Faso),Civilians,13.3164,-0.5225,"13.3164,-0.5225",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,2,15,Burkina Faso,Centre-Nord,Damkarko 2,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 15 February 2022, presumed JNIM militants destroyed a telecommunications antenna in the village of Damkarko 2 (Bouroum, Namentenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.49,-0.5868,"13.49,-0.5868",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,2,15,Burkina Faso,Centre-Nord,Damkarko 2,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 15 February 2022, presumed JNIM militants destroyed a telecommunications antenna in the village of Damkarko 2 (Bouroum, Namentenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.49,-0.5868,"13.49,-0.5868",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,2,15,Burkina Faso,Centre-Nord,Damkarko 2,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 15 February 2022, presumed JNIM militants destroyed a telecommunications antenna in the village of Damkarko 2 (Bouroum, Namentenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.49,-0.5868,"13.49,-0.5868",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,10,29,Burkina Faso,Hauts-Bassins,Bereba,communications,installation,Looting/property destruction,destruction,destroyed,"Property destruction: On 29 October 2022, presumed JNIM militants destroyed a telecommunication installation in the village of Bereba (Bereba, Tuy).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.6261,-3.6869,"11.6261,-3.6869",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,10,29,Burkina Faso,Hauts-Bassins,Bereba,communications,installation,Looting/property destruction,destruction,destroyed,"Property destruction: On 29 October 2022, presumed JNIM militants destroyed a telecommunication installation in the village of Bereba (Bereba, Tuy).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.6261,-3.6869,"11.6261,-3.6869",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,10,29,Burkina Faso,Hauts-Bassins,Bereba,communications,installation,Looting/property destruction,destruction,destroyed,"Property destruction: On 29 October 2022, presumed JNIM militants destroyed a telecommunication installation in the village of Bereba (Bereba, Tuy).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.6261,-3.6869,"11.6261,-3.6869",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,4,29,Burkina Faso,Est,Boukargou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 29 April 2022, presumed JNIM militants burned a telecommunications antenna in the village of Boukargou (Coalla, Gnagna).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3025,0.0283,"13.3025,0.0283",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,4,29,Burkina Faso,Est,Boukargou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 29 April 2022, presumed JNIM militants burned a telecommunications antenna in the village of Boukargou (Coalla, Gnagna).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3025,0.0283,"13.3025,0.0283",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,4,29,Burkina Faso,Est,Boukargou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 29 April 2022, presumed JNIM militants burned a telecommunications antenna in the village of Boukargou (Coalla, Gnagna).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3025,0.0283,"13.3025,0.0283",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,1,30,Burkina Faso,Centre-Nord,Gabou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 30 January 2022, presumed JNIM militants burned a telecommunications antenna and the market in the village of Gabou (Barsalogho, Sanmatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,13.2438,-1.0309,"13.2438,-1.0309",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,1,30,Burkina Faso,Centre-Nord,Gabou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 30 January 2022, presumed JNIM militants burned a telecommunications antenna and the market in the village of Gabou (Barsalogho, Sanmatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,13.2438,-1.0309,"13.2438,-1.0309",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,1,30,Burkina Faso,Centre-Nord,Gabou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 30 January 2022, presumed JNIM militants burned a telecommunications antenna and the market in the village of Gabou (Barsalogho, Sanmatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,13.2438,-1.0309,"13.2438,-1.0309",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,1,30,Burkina Faso,Centre-Nord,Ouanobian,communications,antenna,Looting/property destruction,destruction,destroyed,"Looting: On 30 January 2022, presumed JNIM militants destroyed a telecommunications antenna, burned a shop, and seized a motorcycle and mobile phones in the village of Ouanobian (Pissila, Sanmatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,13.2414,-0.7276,"13.2414,-0.7276",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,2.0,301.0,7832.194171318104
BFA,Burkina Faso,GID_1,NAME_1,2022,1,30,Burkina Faso,Centre-Nord,Ouanobian,communications,antenna,Looting/property destruction,destruction,destroyed,"Looting: On 30 January 2022, presumed JNIM militants destroyed a telecommunications antenna, burned a shop, and seized a motorcycle and mobile phones in the village of Ouanobian (Pissila, Sanmatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,13.2414,-0.7276,"13.2414,-0.7276",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,2.0,301.0,7832.194171318104
BFA,Burkina Faso,GID_1,NAME_1,2022,1,30,Burkina Faso,Centre-Nord,Ouanobian,communications,antenna,Looting/property destruction,destruction,destroyed,"Looting: On 30 January 2022, presumed JNIM militants destroyed a telecommunications antenna, burned a shop, and seized a motorcycle and mobile phones in the village of Ouanobian (Pissila, Sanmatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,13.2414,-0.7276,"13.2414,-0.7276",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,2.0,301.0,9285.35744484667
BFA,Burkina Faso,GID_1,NAME_1,2022,8,20,Burkina Faso,Est,Moaka,communications,installation,Looting/property destruction,looting,looting,"Looting: On 20 August 2022, presumed JNIM militants looted batteries at a telecommunications installation in the village of Moaka (Bilanga, Gnagna).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.2985,-0.0923,"12.2985,-0.0923",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,8,20,Burkina Faso,Est,Moaka,communications,installation,Looting/property destruction,looting,looting,"Looting: On 20 August 2022, presumed JNIM militants looted batteries at a telecommunications installation in the village of Moaka (Bilanga, Gnagna).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.2985,-0.0923,"12.2985,-0.0923",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,8,20,Burkina Faso,Est,Moaka,communications,installation,Looting/property destruction,looting,looting,"Looting: On 20 August 2022, presumed JNIM militants looted batteries at a telecommunications installation in the village of Moaka (Bilanga, Gnagna).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.2985,-0.0923,"12.2985,-0.0923",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,4,14,Burkina Faso,Est,Bilanga,communications,antenna,Looting/property destruction,arson,burned,"Looting: On 14 April 2022, presumed JNIM militants seized two vehicles belonging to a construction company and burned the prefecture and two telecommunications antennas in the town of Bilanga (Bilanga, Gnagna).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso); Government of Burkina Faso (2022-),Civilians,12.5465,-0.0244,"12.5465,-0.0244",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,2.0,503.0,7624.370758329097
BFA,Burkina Faso,GID_1,NAME_1,2022,4,24,Burkina Faso,Boucle du Mouhoun,Balave,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 24 April 2022, presumed JNIM militants vandalized the mayor office and sabotaged telecommunications antennas in the village of Balave (Balave, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-),Civilians,12.3767,-4.1559,"12.3767,-4.1559",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,4,24,Burkina Faso,Boucle du Mouhoun,Balave,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 24 April 2022, presumed JNIM militants vandalized the mayor office and sabotaged telecommunications antennas in the village of Balave (Balave, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-),Civilians,12.3767,-4.1559,"12.3767,-4.1559",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,4,24,Burkina Faso,Boucle du Mouhoun,Balave,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 24 April 2022, presumed JNIM militants vandalized the mayor office and sabotaged telecommunications antennas in the village of Balave (Balave, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-),Civilians,12.3767,-4.1559,"12.3767,-4.1559",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,4,23,Burkina Faso,Boucle du Mouhoun,Balave,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 23 April 2022, presumed JNIM militants destroyed the police station, the office of the town hall secretary general, and telecommunications antennas in the village of Balave (Balave, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.3767,-4.1559,"12.3767,-4.1559",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,4,23,Burkina Faso,Boucle du Mouhoun,Balave,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 23 April 2022, presumed JNIM militants destroyed the police station, the office of the town hall secretary general, and telecommunications antennas in the village of Balave (Balave, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.3767,-4.1559,"12.3767,-4.1559",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,4,23,Burkina Faso,Boucle du Mouhoun,Balave,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 23 April 2022, presumed JNIM militants destroyed the police station, the office of the town hall secretary general, and telecommunications antennas in the village of Balave (Balave, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.3767,-4.1559,"12.3767,-4.1559",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,8,29,Burkina Faso,Boucle du Mouhoun,Solenzo,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 29 August 2022, presumed JNIM militants burned the offices of National Identification Office (ONI) and sabotaged telecommunications antennas and a vehicle of a policeman in the town of Solenzo (Solenzo, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.18,-4.09,"12.18,-4.09",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,1.0,23.0,1032.4872276223234
BFA,Burkina Faso,GID_1,NAME_1,2022,8,29,Burkina Faso,Boucle du Mouhoun,Solenzo,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 29 August 2022, presumed JNIM militants burned the offices of National Identification Office (ONI) and sabotaged telecommunications antennas and a vehicle of a policeman in the town of Solenzo (Solenzo, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.18,-4.09,"12.18,-4.09",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,1.0,23.0,1032.4872276223234
BFA,Burkina Faso,GID_1,NAME_1,2022,8,27,Burkina Faso,Boucle du Mouhoun,Solenzo,communications,installation,Remote explosive/landmine/IED,ransacking,unknown,"On 27 August 2022, overnight presumed JNIM militants detonated the remains of a police station previously blown up and the civil registry, vandalized the mayor's office and telecommunications installations, and burned a telecommunications antenna and mac",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,,,,12.18,-4.09,"12.18,-4.09",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,1.0,23.0,1032.4872276223234
BFA,Burkina Faso,GID_1,NAME_1,2022,8,29,Burkina Faso,Boucle du Mouhoun,Solenzo,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 29 August 2022, presumed JNIM militants burned the offices of National Identification Office (ONI) and sabotaged telecommunications antennas and a vehicle of a policeman in the town of Solenzo (Solenzo, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.18,-4.09,"12.18,-4.09",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613.0,1.0,140.0,1193.172954709238
BFA,Burkina Faso,GID_1,NAME_1,2022,8,27,Burkina Faso,Boucle du Mouhoun,Solenzo,communications,antenna,Remote explosive/landmine/IED,arson,burned,"On 27 August 2022, overnight presumed JNIM militants detonated the remains of a police station previously blown up and the civil registry, vandalized the mayor's office and telecommunications installations, and burned a telecommunications antenna and mac",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,,,,12.18,-4.09,"12.18,-4.09",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613.0,1.0,140.0,1193.172954709238
BFA,Burkina Faso,GID_1,NAME_1,2022,8,27,Burkina Faso,Boucle du Mouhoun,Solenzo,communications,installation,Remote explosive/landmine/IED,ransacking,unknown,"On 27 August 2022, overnight presumed JNIM militants detonated the remains of a police station previously blown up and the civil registry, vandalized the mayor's office and telecommunications installations, and burned a telecommunications antenna and mac",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,,,,12.18,-4.09,"12.18,-4.09",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613.0,1.0,140.0,1193.172954709238
BFA,Burkina Faso,GID_1,NAME_1,2022,1,26,Burkina Faso,Est,Nadiagou,communications,antenna,Looting/property destruction,ransacking,unknown,"Property destruction: On 26 January 2022, presumed JNIM militants vandalized a telecommunications antenna about 8km southeast of Nadiagou (Pama, Kompienga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.1574,0.8333,"11.1574,0.8333",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,2.0,503.0,495.2417119747061
BFA,Burkina Faso,GID_1,NAME_1,2022,1,26,Burkina Faso,Est,Nadiagou,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 26 January 2022, presumed JNIM militants sabotaged a telecommunications antenna in the small town of Nadiagou (Pama, Kompienga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.1574,0.8333,"11.1574,0.8333",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,2.0,503.0,495.2417119747061
BFA,Burkina Faso,GID_1,NAME_1,2022,1,26,Burkina Faso,Est,Nadiagou,communications,antenna,Looting/property destruction,ransacking,unknown,"Property destruction: On 26 January 2022, presumed JNIM militants vandalized a telecommunications antenna about 8km southeast of Nadiagou (Pama, Kompienga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.1574,0.8333,"11.1574,0.8333",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,2.0,503.0,585.2741107020136
BFA,Burkina Faso,GID_1,NAME_1,2021,6,8,Burkina Faso,Sahel,Bougue,communications,antenna,Looting/property destruction,sabotage_removed,unknown,"Looting: On 8 June 2021, presumed JNIM militants sabotaged a telecommunications antenna by seizing the batteries in the village of Bougue (Pobe-Mengao, Soum).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.9786,-1.8111,"13.9786,-1.8111",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2021,6,8,Burkina Faso,Sahel,Bougue,communications,antenna,Looting/property destruction,sabotage_removed,unknown,"Looting: On 8 June 2021, presumed JNIM militants sabotaged a telecommunications antenna by seizing the batteries in the village of Bougue (Pobe-Mengao, Soum).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.9786,-1.8111,"13.9786,-1.8111",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2021,6,8,Burkina Faso,Sahel,Bougue,communications,antenna,Looting/property destruction,sabotage_removed,unknown,"Looting: On 8 June 2021, presumed JNIM militants sabotaged a telecommunications antenna by seizing the batteries in the village of Bougue (Pobe-Mengao, Soum).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.9786,-1.8111,"13.9786,-1.8111",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2021,9,16,Burkina Faso,Boucle du Mouhoun,Baye,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 16 September 2021, unknown gunmen burned a telecommunications antenna in the village of Baye (Solenzo, Banwa).",0,Unidentified Armed Group (Burkina Faso),,Political Militias,Civilians (Burkina Faso),,Civilians,12.0593,-4.078,"12.0593,-4.078",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
