radio,mcc,net,area,cell,unit,lon,lat,GID_0
GSM,613,1,1,1462,0,-1.513892,12.36693,BFA
GSM,613,1,1,1460,0,-1.509705,12.368546,BFA
GSM,613,1,1,11230,0,-1.5071868896484,12.368545532227,BFA
GSM,613,1,2,2100,0,-1.5071868896484,12.368545532227,BFA
GSM,613,1,3,3612,0,-1.504636,12.370213,BFA
GSM,613,1,1,1481,0,-1.508061,12.37304,BFA
GSM,613,1,1,11251,0,-1.502884,12.374435,BFA
GSM,613,1,1,11161,0,-1.493568,12.375755,BFA
GSM,613,1,3,13572,0,-1.49176,12.379944,BFA
GSM,613,1,3,3002,0,-1.491636,12.379895,BFA
GSM,613,1,3,13571,0,-1.489068,12.379975,BFA
GSM,613,1,3,3001,0,-1.485901,12.377472,BFA
GSM,613,1,2,12052,0,-1.485672,12.354813,BFA
GSM,613,1,2,12101,0,-1.490364,12.347603,BFA
GSM,613,1,2,2101,0,-1.489609,12.349319,BFA
GSM,613,1,2,2062,0,-1.484299,12.357428,BFA
GSM,613,1,2,12231,0,-1.490409,12.3206,BFA
GSM,613,1,2,12232,0,-1.503754,12.331924,BFA
GSM,613,1,2,2212,0,-1.486588,12.315445,BFA
GSM,613,1,2,2211,0,-1.482336,12.309429,BFA
GSM,613,1,2,2041,0,-1.472009,12.298613,BFA
GSM,613,1,2,2201,0,-1.455002,12.277908,BFA
GSM,613,1,2,2122,0,-1.414421,12.211578,BFA
GSM,613,1,2,2120,0,-1.399841,12.18544,BFA
GSM,613,1,2,2121,0,-1.392205,12.170916,BFA
GSM,613,1,81,8105,0,-1.40509,12.194512,BFA
GSM,613,1,81,8103,0,-1.318386,12.041392,BFA
GSM,613,1,81,8131,0,-1.266747,11.839256,BFA
GSM,613,1,81,8130,0,-1.24588,11.76445,BFA
GSM,613,1,81,8117,0,-1.199962,11.740363,BFA
GSM,613,1,81,8115,0,-1.123635,11.687793,BFA
GSM,613,1,81,8102,0,-1.120291,11.695922,BFA
GSM,613,1,81,8101,0,-1.052127,11.635418,BFA
GSM,613,1,51,5120,0,-1.0114288330078,11.589889526367,BFA
GSM,613,1,51,5132,0,-0.812653,11.442819,BFA
GSM,613,1,51,5121,0,-0.557203,11.12997,BFA
GSM,613,1,2,2171,0,-1.531051,12.333045,BFA
GSM,613,1,1,1682,0,-1.5277862548828,12.33283996582,BFA
GSM,613,1,2,2172,0,-1.539764,12.334822,BFA
GSM,613,1,2,2021,0,-1.544867,12.334958,BFA
GSM,613,1,2,2020,0,-1.547053,12.339504,BFA
GSM,613,1,2,2131,0,-1.53272,12.322311,BFA
GSM,613,1,2,12152,0,-1.527316,12.318637,BFA
GSM,613,1,2,2160,0,-1.5264129638672,12.331466674805,BFA
GSM,613,1,1,1620,0,-1.5277862548828,12.33283996582,BFA
GSM,613,1,1,1452,0,-1.5277862548828,12.33283996582,BFA
