space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_10_23_-4.6833_9.95,20.996046407225293,-0.805,0.291,3779,6,0.0016
2022_10_23_-4.6833_9.95,22.17715774704272,-0.805,0.291,3991,6,0.0016
2022_10_23_-4.6833_9.95,22.861443540053177,-0.805,0.291,4115,7,0.0016
2022_10_23_-4.6833_9.95,35.227701563470205,-0.805,0.291,6340,10,0.0016
2022_10_23_-4.6833_9.95,38.16917646535384,-0.805,0.291,6870,11,0.0016
2022_10_23_-4.6833_9.95,39.552844845861244,-0.805,0.291,7119,11,0.0016
2022_10_23_-4.6833_9.95,37.98857826979131,-0.329,0.283,10674,17,0.0016
2022_10_23_-4.6833_9.95,32.16236561298795,-0.548,0.283,9037,14,0.0016
2022_10_23_-4.6833_9.95,22.75272261964816,-0.589,0.285,6393,10,0.0016
2022_10_23_-4.6833_9.95,22.457300118664904,-0.589,0.285,6310,10,0.0016
2022_10_23_-4.6833_9.95,22.05999508849806,-0.589,0.285,6198,10,0.0016
2022_10_23_-4.6833_9.95,21.40632122130397,-0.589,0.285,6015,10,0.0016
2022_10_23_-4.6833_9.95,21.09890361877277,-0.589,0.285,5928,9,0.0016
2022_10_23_-4.6833_9.95,20.85972492726821,-0.589,0.285,5861,9,0.0016
2022_10_23_-4.6833_9.95,20.47497167003392,-0.858,0.29,3685,6,0.0016
2022_10_23_-4.6833_9.95,20.340522198477768,-0.858,0.29,3661,6,0.0016
2022_10_23_-4.6833_9.95,19.678403259788176,-0.858,0.29,3542,6,0.0016
2022_10_23_-4.6833_9.95,19.48749664361757,-0.736,0.29,3507,6,0.0016
2022_10_23_-4.6833_9.95,8.04607914529527,-0.736,0.29,1448,2,0.0016
2022_10_23_-4.6833_9.95,11.895949515278168,-0.805,0.291,2141,3,0.0016
2022_10_23_-4.6833_9.95,19.890918728568867,-0.805,0.291,3580,6,0.0016
2022_10_23_-4.6833_9.95,20.49079676971117,-0.805,0.291,3688,6,0.0016
2022_10_23_-4.6833_9.95,20.6138579916598,-0.805,0.291,3710,6,0.0016
2022_10_23_-4.6833_9.95,23.013823481769776,-0.805,0.291,4142,7,0.0016
2022_10_23_-4.6833_9.95,28.353450202332866,-0.805,0.291,5103,8,0.0016
2022_10_23_-4.6833_9.95,32.59650740357567,-0.805,0.291,5867,9,0.0016
2022_10_23_-4.6833_9.95,30.76404217679129,-0.132,0.392,12244,20,0.0016
2022_10_23_-4.6833_9.95,22.96095438884684,-0.132,0.392,9138,15,0.0016
2022_10_23_-4.6833_9.95,22.516842008551382,-0.589,0.285,6327,10,0.0016
2022_10_23_-4.6833_9.95,22.48748751219081,-0.589,0.285,6318,10,0.0016
2022_10_23_-4.6833_9.95,22.14862499277035,-0.589,0.285,6223,10,0.0016
2022_10_23_-4.6833_9.95,21.92291053205473,-0.589,0.285,6160,10,0.0016
2022_10_23_-4.6833_9.95,22.886870659915196,-0.589,0.285,6431,10,0.0016
2022_10_23_-4.6833_9.95,21.8137874042936,-0.858,0.29,3926,6,0.0016
2022_10_23_-4.6833_9.95,21.10301126585545,-0.858,0.29,3798,6,0.0016
2022_10_23_-4.6833_9.95,20.9933314809784,-0.858,0.29,3778,6,0.0016
