space_time_id,pop,rwi,error,wealth
2022_10_23_-4.6833_9.95,20.340522198477768,-0.858,0.29,8136.208879391107
2022_10_23_-4.6833_9.95,19.678403259788176,-0.858,0.29,7871.361303915271
2022_10_23_-4.6833_9.95,19.48749664361757,-0.736,0.29,5846.248993085271
2022_10_23_-4.6833_9.95,8.04607914529527,-0.736,0.29,2413.823743588581
2022_10_23_-4.6833_9.95,11.895949515278168,-0.805,0.291,3568.7848545834504
2022_10_23_-4.6833_9.95,19.890918728568867,-0.805,0.291,5967.27561857066
2022_10_23_-4.6833_9.95,20.49079676971117,-0.805,0.291,6147.239030913352
2022_10_23_-4.6833_9.95,20.6138579916598,-0.805,0.291,6184.15739749794
2022_10_23_-4.6833_9.95,23.013823481769776,-0.805,0.291,6904.147044530933
2022_10_23_-4.6833_9.95,28.353450202332866,-0.805,0.291,8506.03506069986
2022_10_23_-4.6833_9.95,32.59650740357567,-0.805,0.291,9778.952221072701
2022_10_23_-4.6833_9.95,30.76404217679129,-0.132,0.392,18458.425306074772
2022_10_23_-4.6833_9.95,22.96095438884684,-0.132,0.392,13776.572633308104
2022_10_23_-4.6833_9.95,22.516842008551382,-0.589,0.285,9006.736803420554
2022_10_23_-4.6833_9.95,22.48748751219081,-0.589,0.285,8994.995004876324
2022_10_23_-4.6833_9.95,22.14862499277035,-0.589,0.285,8859.44999710814
2022_10_23_-4.6833_9.95,21.92291053205473,-0.589,0.285,8769.164212821892
2022_10_23_-4.6833_9.95,22.886870659915196,-0.589,0.285,9154.74826396608
2022_10_23_-4.6833_9.95,21.8137874042936,-0.858,0.29,8725.51496171744
2022_10_23_-4.6833_9.95,21.10301126585545,-0.858,0.29,8441.20450634218
2022_10_23_-4.6833_9.95,20.9933314809784,-0.858,0.29,8397.33259239136
2022_10_23_-4.6833_9.95,20.76707036297381,-0.858,0.29,8306.828145189524
2022_10_23_-4.6833_9.95,21.193621377912383,-0.599,0.314,8477.448551164953
2022_10_23_-4.6833_9.95,21.89989630728445,-0.599,0.314,8759.958522913781
2022_10_23_-4.6833_9.95,0.725931323735149,-0.599,0.314,290.3725294940596
2022_10_23_-4.6833_9.95,1.126569275865165,-0.805,0.291,450.627710346066
2022_10_23_-4.6833_9.95,18.46721556913729,-0.805,0.291,7386.886227654916
2022_10_23_-4.6833_9.95,18.941853400119165,-0.805,0.291,7576.741360047666
2022_10_23_-4.6833_9.95,19.643300073687826,-0.805,0.291,7857.3200294751305
2022_10_23_-4.6833_9.95,20.86707774627,-0.805,0.291,8346.831098507999
2022_10_23_-4.6833_9.95,21.01592971485904,-0.805,0.291,8406.371885943616
2022_10_23_-4.6833_9.95,21.852073962227895,-0.805,0.291,8740.829584891158
2022_10_23_-4.6833_9.95,21.45388098853117,-0.132,0.392,12872.328593118702
2022_10_23_-4.6833_9.95,21.29822097772262,-0.132,0.392,12778.932586633573
2022_10_23_-4.6833_9.95,21.29587774457806,-0.132,0.392,12777.526646746835
2022_10_23_-4.6833_9.95,22.55578220575883,-0.132,0.392,13533.469323455298
2022_10_23_-4.6833_9.95,25.21218195430536,-0.132,0.392,15127.309172583216
2022_10_23_-4.6833_9.95,23.90503617978001,-0.645,0.369,7171.510853934003
2022_10_23_-4.6833_9.95,22.80085172685056,-0.645,0.369,6840.255518055168
2022_10_23_-4.6833_9.95,23.849445223457483,-0.645,0.369,7154.833567037245
2022_10_23_-4.6833_9.95,22.667914077784804,-0.858,0.29,6800.3742233354415
2022_10_23_-4.6833_9.95,21.539857312279043,-0.858,0.29,6461.957193683713
2022_10_23_-4.6833_9.95,21.518486559400007,-0.858,0.29,6455.545967820002
2022_10_23_-4.6833_9.95,21.564776246769583,-0.858,0.29,6469.432874030875
2022_10_23_-4.6833_9.95,22.08192413408809,-0.599,0.314,8832.769653635236
2022_10_23_-4.6833_9.95,22.622829338892927,-0.599,0.314,9049.13173555717
2022_10_23_-4.6833_9.95,7.944605116042078,-0.599,0.314,3177.842046416831
2022_10_23_-4.6833_9.95,5.915408775304362,-0.805,0.291,2366.163510121745
2022_10_23_-4.6833_9.95,19.28653530032632,-0.805,0.291,7714.614120130528
2022_10_23_-4.6833_9.95,19.33381040289833,-0.805,0.291,7733.524161159332
2022_10_23_-4.6833_9.95,19.022961646165093,-0.805,0.291,7609.184658466037
2022_10_23_-4.6833_9.95,20.27833918756612,-0.805,0.291,8111.335675026448
2022_10_23_-4.6833_9.95,21.721737213076736,-0.805,0.291,8688.694885230694
2022_10_23_-4.6833_9.95,22.543969355435728,-0.132,0.392,13526.381613261437
2022_10_23_-4.6833_9.95,22.30011935336817,-0.132,0.392,13380.071612020902
2022_10_23_-4.6833_9.95,21.144761643323378,-0.132,0.392,12686.856985994027
2022_10_23_-4.6833_9.95,22.430982076934708,-0.132,0.392,13458.589246160825
2022_10_23_-4.6833_9.95,32.267644843900136,-0.132,0.392,19360.586906340082
2022_10_23_-4.6833_9.95,37.42832883178189,-0.132,0.392,22456.997299069135
2022_10_23_-4.6833_9.95,36.54223938672726,-0.645,0.369,10962.671816018177
2022_10_23_-4.6833_9.95,28.052726222845493,-0.645,0.369,8415.817866853648
2022_10_23_-4.6833_9.95,22.848598537219512,-0.645,0.369,6854.579561165854
2022_10_23_-4.6833_9.95,22.34918600017455,-0.858,0.29,6704.755800052366
2022_10_23_-4.6833_9.95,21.665212742598516,-0.858,0.29,6499.563822779555
2022_10_23_-4.6833_9.95,21.35496227830407,-0.858,0.29,6406.48868349122
2022_10_23_-4.6833_9.95,21.40613378126694,-0.858,0.29,6421.840134380082
2022_10_23_-4.6833_9.95,22.064485456485155,-0.599,0.314,8825.794182594062
2022_10_23_-4.6833_9.95,22.0809309992654,-0.599,0.314,8832.37239970616
2022_10_23_-4.6833_9.95,14.292173702635717,-0.599,0.314,5716.869481054287
2022_10_23_-4.6833_9.95,9.1967079714455,-0.805,0.291,3678.6831885782
2022_10_23_-4.6833_9.95,18.761626635198844,-0.805,0.291,7504.650654079538
2022_10_23_-4.6833_9.95,19.533484158540432,-0.805,0.291,7813.393663416173
2022_10_23_-4.6833_9.95,19.59829473956272,-0.805,0.291,7839.317895825088
2022_10_23_-4.6833_9.95,19.93487146867003,-0.805,0.291,7973.948587468011
2022_10_23_-4.6833_9.95,21.000836375627557,-0.132,0.392,12600.501825376534
2022_10_23_-4.6833_9.95,21.409058044012426,-0.132,0.392,12845.434826407456
2022_10_23_-4.6833_9.95,20.985489483348235,-0.132,0.392,12591.29369000894
2022_10_23_-4.6833_9.95,20.733318161989143,-0.132,0.392,12439.990897193486
2022_10_23_-4.6833_9.95,27.07599925718523,-0.132,0.392,16245.599554311138
2022_10_23_-4.6833_9.95,37.47304131858351,-0.132,0.392,22483.824791150106
2022_10_23_-4.6833_9.95,40.74205769452113,-0.132,0.392,24445.234616712678
2022_10_23_-4.6833_9.95,39.83261975650576,-0.645,0.369,11949.785926951727
2022_10_23_-4.6833_9.95,35.82062314567784,-0.645,0.369,10746.186943703353
2022_10_23_-4.6833_9.95,22.906672419510485,-0.645,0.369,6872.001725853145
2022_10_23_-4.6833_9.95,21.43212254494532,-0.351,0.288,10716.06127247266
2022_10_23_-4.6833_9.95,21.75155088427843,-0.351,0.288,10875.775442139215
2022_10_23_-4.6833_9.95,21.867954954048987,-0.351,0.288,10933.977477024493
2022_10_23_-4.6833_9.95,22.40945410781544,-0.351,0.288,11204.72705390772
2022_10_23_-4.6833_9.95,23.590201570137413,-0.506,0.289,9436.080628054966
2022_10_23_-4.6833_9.95,22.74884890564573,-0.506,0.289,9099.539562258291
2022_10_23_-4.6833_9.95,19.14957409297754,-0.506,0.289,7659.829637191016
2022_10_23_-4.6833_9.95,10.542912756943762,-0.805,0.291,4217.165102777505
2022_10_23_-4.6833_9.95,17.554756640328783,-0.805,0.291,7021.902656131513
2022_10_23_-4.6833_9.95,18.49294291920936,-0.805,0.291,7397.177167683743
2022_10_23_-4.6833_9.95,18.73693044466568,-0.805,0.291,7494.772177866273
2022_10_23_-4.6833_9.95,19.159013365543338,-0.805,0.291,7663.605346217335
2022_10_23_-4.6833_9.95,19.144286791117327,-0.132,0.392,11486.572074670396
2022_10_23_-4.6833_9.95,19.80432129169699,-0.132,0.392,11882.592775018195
2022_10_23_-4.6833_9.95,19.45693444931676,-0.132,0.392,11674.160669590055
2022_10_23_-4.6833_9.95,21.012653638397254,-0.132,0.392,12607.592183038352
2022_10_23_-4.6833_9.95,30.09366236042184,-0.132,0.392,18056.197416253104
2022_10_23_-4.6833_9.95,38.27291878533009,-0.132,0.392,22963.751271198056
2022_10_23_-4.6833_9.95,42.14032353955559,-0.132,0.392,25284.194123733352
2022_10_23_-4.6833_9.95,41.00277273890004,-0.645,0.369,12300.831821670012
2022_10_23_-4.6833_9.95,37.643114007521945,-0.645,0.369,11292.934202256583
2022_10_23_-4.6833_9.95,24.02578209175471,-0.645,0.369,7207.734627526413
2022_10_23_-4.6833_9.95,22.70775784636261,-0.137,0.285,13624.654707817566
2022_10_23_-4.6833_9.95,22.058407069746988,-0.351,0.288,11029.203534873493
2022_10_23_-4.6833_9.95,21.53736596816127,-0.351,0.288,10768.682984080635
2022_10_23_-4.6833_9.95,21.43730458589081,-0.351,0.288,10718.652292945406
2022_10_23_-4.6833_9.95,23.905223157659805,-0.506,0.289,9562.089263063921
2022_10_23_-4.6833_9.95,25.069302456480692,-0.506,0.289,10027.720982592276
2022_10_23_-4.6833_9.95,21.87588390779156,-0.506,0.289,8750.353563116625
2022_10_23_-4.6833_9.95,10.466358351910287,-0.805,0.291,4186.543340764115
2022_10_23_-4.6833_9.95,18.10732859509669,-0.805,0.291,7242.931438038676
2022_10_23_-4.6833_9.95,17.709587916050836,-0.805,0.291,7083.835166420335
2022_10_23_-4.6833_9.95,17.541557272848248,-0.805,0.291,7016.622909139299
2022_10_23_-4.6833_9.95,17.765316504609427,-0.132,0.392,10659.189902765656
2022_10_23_-4.6833_9.95,18.37585467104372,-0.132,0.392,11025.512802626232
2022_10_23_-4.6833_9.95,18.859486233148505,-0.132,0.392,11315.691739889104
2022_10_23_-4.6833_9.95,19.275360950250064,-0.132,0.392,11565.216570150038
2022_10_23_-4.6833_9.95,20.12467617154857,-0.132,0.392,12074.805702929141
2022_10_23_-4.6833_9.95,26.21284199801972,-0.132,0.392,15727.705198811831
2022_10_23_-4.6833_9.95,36.86257660471077,-0.132,0.392,22117.54596282646
2022_10_23_-4.6833_9.95,38.72715632554381,-0.793,0.396,11618.146897663142
2022_10_23_-4.6833_9.95,38.53900693197053,-0.793,0.396,11561.70207959116
2022_10_23_-4.6833_9.95,33.11873929066791,-0.793,0.396,9935.621787200373
2022_10_23_-4.6833_9.95,23.64503921251725,-0.137,0.285,14187.02352751035
2022_10_23_-4.6833_9.95,22.83535324678185,-0.137,0.285,13701.211948069109
2022_10_23_-4.6833_9.95,22.21404830771484,-0.137,0.285,13328.428984628905
2022_10_23_-4.6833_9.95,21.44199522025893,-0.351,0.288,10720.997610129465
2022_10_23_-4.6833_9.95,21.14739459060403,-0.351,0.288,10573.697295302016
2022_10_23_-4.6833_9.95,21.550417837253228,-0.679,0.287,6465.125351175969
2022_10_23_-4.6833_9.95,28.17408270741005,-0.679,0.287,8452.224812223016
2022_10_23_-4.6833_9.95,26.50963603133424,-0.679,0.287,7952.890809400272
2022_10_23_-4.6833_9.95,8.270093698438961,-0.805,0.291,2481.028109531688
2022_10_23_-4.6833_9.95,17.08769239489302,-0.805,0.291,5126.307718467906
2022_10_23_-4.6833_9.95,17.254855568516916,-0.805,0.291,5176.456670555075
2022_10_23_-4.6833_9.95,17.42393174940769,-0.132,0.392,10454.359049644614
2022_10_23_-4.6833_9.95,17.910105547520175,-0.132,0.392,10746.063328512104
2022_10_23_-4.6833_9.95,18.330287260689847,-0.132,0.392,10998.172356413908
2022_10_23_-4.6833_9.95,18.549854835290127,-0.132,0.392,11129.912901174075
2022_10_23_-4.6833_9.95,19.07166922511943,-0.132,0.392,11443.001535071657
2022_10_23_-4.6833_9.95,19.7069459419116,-0.132,0.392,11824.16756514696
2022_10_23_-4.6833_9.95,21.748536285217263,-0.132,0.392,13049.121771130358
2022_10_23_-4.6833_9.95,25.97433766207884,-0.793,0.396,7792.301298623653
2022_10_23_-4.6833_9.95,30.439801521689485,-0.793,0.396,9131.940456506845
2022_10_23_-4.6833_9.95,28.52009873591935,-0.793,0.396,8556.029620775806
2022_10_23_-4.6833_9.95,23.109990891316578,-0.793,0.396,6932.997267394973
2022_10_23_-4.6833_9.95,22.496218842380785,-0.137,0.285,13497.731305428471
2022_10_23_-4.6833_9.95,21.69311573167637,-0.137,0.285,13015.869439005823
2022_10_23_-4.6833_9.95,20.95333182819044,-0.137,0.285,12571.999096914264
2022_10_23_-4.6833_9.95,21.27229079481708,-0.137,0.285,12763.374476890249
2022_10_23_-4.6833_9.95,20.91923097402757,-0.679,0.287,6275.7692922082715
2022_10_23_-4.6833_9.95,21.3282012648555,-0.679,0.287,6398.46037945665
2022_10_23_-4.6833_9.95,27.24655081275286,-0.679,0.287,8173.965243825858
2022_10_23_-4.6833_9.95,23.59569805465803,-0.679,0.287,7078.709416397409
2022_10_23_-4.6833_9.95,4.562346552977073,-0.805,0.291,1368.703965893122
2022_10_23_-4.6833_9.95,15.782021236040666,-0.805,0.291,4734.6063708122
2022_10_23_-4.6833_9.95,16.635908937831875,-0.132,0.392,9981.545362699126
2022_10_23_-4.6833_9.95,16.99969599607981,-0.132,0.392,10199.817597647887
2022_10_23_-4.6833_9.95,17.54845181425886,-0.132,0.392,10529.071088555316
2022_10_23_-4.6833_9.95,18.069689690574474,-0.132,0.392,10841.813814344685
2022_10_23_-4.6833_9.95,18.241517691783383,-0.132,0.392,10944.91061507003
2022_10_23_-4.6833_9.95,18.773548453496304,-0.132,0.392,11264.129072097781
2022_10_23_-4.6833_9.95,19.718218368760567,-0.132,0.392,11830.93102125634
2022_10_23_-4.6833_9.95,20.989412642965444,-0.793,0.396,6296.823792889633
2022_10_23_-4.6833_9.95,21.66655830633214,-0.793,0.396,6499.967491899642
2022_10_23_-4.6833_9.95,22.408331307565447,-0.793,0.396,6722.499392269634
2022_10_23_-4.6833_9.95,22.363945003964027,-0.793,0.396,6709.183501189208
2022_10_23_-4.6833_9.95,22.43701902024998,-0.793,0.396,6731.1057060749945
2022_10_23_-4.6833_9.95,21.92922684291952,-0.137,0.285,13157.536105751711
2022_10_23_-4.6833_9.95,20.83552779290134,-0.137,0.285,12501.316675740803
2022_10_23_-4.6833_9.95,20.55826211626695,-0.137,0.285,12334.957269760169
2022_10_23_-4.6833_9.95,20.409811201554827,-0.137,0.285,12245.886720932896
2022_10_23_-4.6833_9.95,20.386829037675582,-0.679,0.287,6116.048711302675
2022_10_23_-4.6833_9.95,21.956228219336083,-0.679,0.287,6586.868465800825
2022_10_23_-4.6833_9.95,26.66278941823432,-0.679,0.287,7998.8368254702955
2022_10_23_-4.6833_9.95,17.29768762762812,-0.679,0.287,5189.306288288437
2022_10_23_-4.6833_9.95,0.603260317554462,-0.805,0.291,180.97809526633858
2022_10_23_-4.6833_9.95,14.141206087014847,-0.132,0.392,8484.723652208908
2022_10_23_-4.6833_9.95,16.391649566601355,-0.132,0.392,9834.989739960813
2022_10_23_-4.6833_9.95,16.63302613090689,-0.132,0.392,9979.815678544135
2022_10_23_-4.6833_9.95,16.77411656311281,-0.132,0.392,10064.469937867685
2022_10_23_-4.6833_9.95,17.14812709837803,-0.132,0.392,10288.876259026818
2022_10_23_-4.6833_9.95,17.885110612378625,-0.132,0.392,10731.066367427175
2022_10_23_-4.6833_9.95,17.54632227966338,-0.132,0.392,10527.793367798027
2022_10_23_-4.6833_9.95,18.124504282322334,-0.258,0.395,9062.252141161167
2022_10_23_-4.6833_9.95,19.793546458122837,-0.258,0.395,9896.773229061419
2022_10_23_-4.6833_9.95,21.34393990026669,-0.258,0.395,10671.969950133345
2022_10_23_-4.6833_9.95,21.829102495464213,-0.258,0.395,10914.551247732106
2022_10_23_-4.6833_9.95,22.59783231483628,-0.258,0.395,11298.91615741814
2022_10_23_-4.6833_9.95,21.64459500821098,-0.258,0.395,10822.29750410549
2022_10_23_-4.6833_9.95,20.58642593127298,-0.258,0.395,10293.21296563649
2022_10_23_-4.6833_9.95,18.829331581699485,-0.137,0.285,11297.598949019692
2022_10_23_-4.6833_9.95,18.794874209841005,-0.137,0.285,11276.924525904604
2022_10_23_-4.6833_9.95,18.8931607845899,-0.137,0.285,11335.89647075394
2022_10_23_-4.6833_9.95,20.036484343448457,-0.679,0.287,6010.945303034537
2022_10_23_-4.6833_9.95,22.62739077121949,-0.679,0.287,6788.217231365847
2022_10_23_-4.6833_9.95,23.527716458027736,-0.679,0.287,7058.314937408321
2022_10_23_-4.6833_9.95,7.812873311404317,-0.679,0.287,2343.861993421295
2022_10_23_-4.6833_9.95,7.849450013116693,-0.132,0.392,4709.670007870016
2022_10_23_-4.6833_9.95,15.41388067691062,-0.132,0.392,9248.328406146373
2022_10_23_-4.6833_9.95,16.645833283504412,-0.132,0.392,9987.499970102648
2022_10_23_-4.6833_9.95,16.64345886953292,-0.132,0.392,9986.075321719753
2022_10_23_-4.6833_9.95,16.890421249713736,-0.132,0.392,10134.252749828242
2022_10_23_-4.6833_9.95,18.61360261538973,-0.258,0.395,9306.801307694865
2022_10_23_-4.6833_9.95,17.6527764250157,-0.258,0.395,8826.388212507849
2022_10_23_-4.6833_9.95,17.296164440959455,-0.258,0.395,8648.082220479728
2022_10_23_-4.6833_9.95,17.462021838774458,-0.258,0.395,8731.010919387229
2022_10_23_-4.6833_9.95,18.86698674394063,-0.258,0.395,9433.493371970315
2022_10_23_-4.6833_9.95,19.82787125325544,-0.258,0.395,9913.935626627721
2022_10_23_-4.6833_9.95,20.30264407385979,-0.258,0.395,10151.322036929894
2022_10_23_-4.6833_9.95,20.349780773314667,-0.258,0.395,10174.890386657333
2022_10_23_-4.6833_9.95,19.86609681874609,-0.258,0.395,9933.048409373045
2022_10_23_-4.6833_9.95,18.65505238510968,-0.258,0.395,9327.52619255484
2022_10_23_-4.6833_9.95,18.14763428840393,-0.137,0.285,10888.580573042356
2022_10_23_-4.6833_9.95,18.18274562252044,-0.137,0.285,10909.647373512264
2022_10_23_-4.6833_9.95,19.532550808404327,-0.679,0.287,5859.765242521298
2022_10_23_-4.6833_9.95,24.30942682045097,-0.679,0.287,7292.828046135291
2022_10_23_-4.6833_9.95,19.301346406034146,-0.679,0.287,5790.403921810243
2022_10_23_-4.6833_9.95,0.368487607807201,-0.679,0.287,110.54628234216031
2022_10_23_-4.6833_9.95,1.238225506990087,-0.132,0.392,742.9353041940522
2022_10_23_-4.6833_9.95,13.948281963841572,-0.132,0.392,8368.969178304944
2022_10_23_-4.6833_9.95,16.061980894821797,-0.132,0.392,9637.188536893078
2022_10_23_-4.6833_9.95,16.54987641183385,-0.258,0.395,8274.938205916926
2022_10_23_-4.6833_9.95,17.44838181811902,-0.258,0.395,8724.19090905951
2022_10_23_-4.6833_9.95,17.417536881478448,-0.258,0.395,8708.768440739224
2022_10_23_-4.6833_9.95,16.95197861708577,-0.258,0.395,8475.989308542885
2022_10_23_-4.6833_9.95,17.268865686515294,-0.258,0.395,8634.432843257648
2022_10_23_-4.6833_9.95,17.760931734879705,-0.258,0.395,8880.465867439852
2022_10_23_-4.6833_9.95,18.60007663378377,-0.258,0.395,9300.038316891885
2022_10_23_-4.6833_9.95,19.071759897479357,-0.258,0.395,9535.87994873968
2022_10_23_-4.6833_9.95,19.40868484546898,-0.258,0.395,9704.34242273449
2022_10_23_-4.6833_9.95,19.95619413425439,-0.258,0.395,9978.097067127195
2022_10_23_-4.6833_9.95,19.501784501614743,-0.258,0.395,9750.892250807372
2022_10_23_-4.6833_9.95,18.86253685277438,-0.258,0.395,9431.26842638719
2022_10_23_-4.6833_9.95,17.742976622675194,-0.258,0.395,8871.488311337596
2022_10_23_-4.6833_9.95,17.157582646966965,-0.137,0.285,10294.54958818018
2022_10_23_-4.6833_9.95,17.902831439869406,-0.679,0.287,5370.849431960822
2022_10_23_-4.6833_9.95,20.825742423327416,-0.679,0.287,6247.722726998225
2022_10_23_-4.6833_9.95,7.940164445325249,-0.679,0.287,2382.049333597575
2022_10_23_-4.6833_9.95,4.687294885439628,-0.258,0.395,2343.647442719814
2022_10_23_-4.6833_9.95,14.8566542780453,-0.258,0.395,7428.32713902265
