year,month,country_1,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,latitude,longitude,coordinate,source,radio,mcc,net,area,distance_to_event_m
2022,10,Burkina Faso,Hauts-Bassins,Dossi,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 13 October 2022, presumed JNIM militants burned a telecommunications installation in the village of Dossi (Boni, Tuy).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.5096,-3.3958,"11.5096,-3.3958",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,1,20,3159.6682641826733
2022,10,Burkina Faso,Hauts-Bassins,Dossi,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 13 October 2022, presumed JNIM militants burned a telecommunications installation in the village of Dossi (Boni, Tuy).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.5096,-3.3958,"11.5096,-3.3958",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,802,4467.998609066677
2022,10,Burkina Faso,Hauts-Bassins,Dossi,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 13 October 2022, presumed JNIM militants burned a telecommunications installation in the village of Dossi (Boni, Tuy).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.5096,-3.3958,"11.5096,-3.3958",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,802,5103.375527780827
2022,2,Burkina Faso,Nord,Zogore,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 21 February 2022, presumed JNIM militants destroyed telecommunications antennas in Zogore (Zogore, Yatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3978,-2.5921,"13.3978,-2.5921",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,302,2581.5321528524637
2022,2,Burkina Faso,Nord,Zogore,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 21 February 2022, presumed JNIM militants destroyed telecommunications antennas in Zogore (Zogore, Yatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3978,-2.5921,"13.3978,-2.5921",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,302,4881.561233653278
2022,2,Burkina Faso,Nord,Zogore,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 21 February 2022, presumed JNIM militants destroyed telecommunications antennas in Zogore (Zogore, Yatenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.3978,-2.5921,"13.3978,-2.5921",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,302,9610.02238169517
2022,1,Burkina Faso,Boucle du Mouhoun,Soin,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 19 January 2022, presumed JNIM militants sabotaged telecommunications antennas in the village of Soin (Nouna, Kossi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.7772,-3.8072,"12.7772,-3.8072",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613,2,3002,7434.600456020928
2022,1,Burkina Faso,Boucle du Mouhoun,Soin,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 19 January 2022, presumed JNIM militants sabotaged telecommunications antennas in the village of Soin (Nouna, Kossi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.7772,-3.8072,"12.7772,-3.8072",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613,1,140,7548.72567194188
2022,1,Burkina Faso,Boucle du Mouhoun,Soin,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 19 January 2022, presumed JNIM militants sabotaged telecommunications antennas in the village of Soin (Nouna, Kossi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.7772,-3.8072,"12.7772,-3.8072",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613,1,140,7548.72567194188
2022,9,Burkina Faso,Boucle du Mouhoun,Kouka,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 8 September 2022, presumed JNIM militants burned telecommunications installations in the town of Kouka (Kouka, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.8982,-4.3379,"11.8982,-4.3379",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,9,Burkina Faso,Boucle du Mouhoun,Kouka,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 8 September 2022, presumed JNIM militants burned telecommunications installations in the town of Kouka (Kouka, Banwa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.8982,-4.3379,"11.8982,-4.3379",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
